path,entry_sequence,requirement_group,title,status,met,result_description,gpa_actual,gpa_required,units_used,units_required,units_needed,course_used,course_required,course_needed,academic_program,academic_plan,academic_subplan,in_progress,progress_value
Computer Science - Core and Elective Requirements▸ Computer Science - Core,64,503571,Computer Science - Core,FAIL,False,Overall Requirement Not Satisfied,3.96,0.0,31.0,0.0,0.0,10,0,0,UGENG,CPS_BSCS,,False,0.9090909090909091
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ COP3503C - Programming Fundamentals 2,66,503571,COP3503C - Programming Fundamentals 2,COMP,True,Satisfied,4.0,0.0,4.0,4.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ CDA 3101  - Introduction to Computer Organization,67,503571,CDA3101  - Introduction to Computer Organization,COMP,True,Satisfied,4.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ COT3100 - Applications of Discrete Structures,68,503571,COT3100 - Applications of Discrete Structures,COMP,True,Satisfied,4.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ COP3530 - Data Structures and Algorithm,69,503571,COP3530 - Data Structures and Algorithm,COMP,True,Satisfied,4.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ CIS4301 - Information and Database Systems 1,70,503571,CIS4301 - Information and Database Systems 1,COMP,True,Satisfied,4.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ COP4600 - Operating Systems,71,503571,COP4600 - Operating Systems,COMP,True,Satisfied,3.67,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ CEN3031 - Introduction to Software Engineering,72,503571,CEN3031 - Introduction to Software Engineering,COMP,True,Satisfied,4.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ CNT4007 - Computer Network Fundamentals,73,503571,CNT4007 - Computer Network Fundamentals,COMP,True,Satisfied,4.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ COP4020 - Programming Language Concepts,74,503571,COP4020 - Programming Language Concepts,COMP,True,Satisfied,4.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ COP4533 - Algorithm Abstraction and Design,75,503571,COP4533 - Algorithm Abstraction and Design,COMP,True,Satisfied,4.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Core▸ EGN4952 - Integrated Product and Process Design 2 OR CIS4914 - Senior Project,76,503571,EGN4952 - Integrated Product and Process Design 2 OR CIS4914 - Senior Project,FAIL,False,Not Satisfied,0.0,0.0,0.0,3.0,3.0,0,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Pre-professional Labs▸ PHY2048L - Physics 1 Lab,79,503571,PHY2048L - Physics 1 Lab,COMP,True,Satisfied,0.0,0.0,1.0,1.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Pre-professional Labs▸ PHY2049L - Physics 2 Lab,80,503571,PHY2049L - Physics 2 Lab,COMP,True,Satisfied,0.0,0.0,1.0,1.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Summary of Major Coursework▸ ENC3246 - Professional Communication for Engineers,82,503571,ENC3246 - Professional Communication for Engineers,COMP,True,Satisfied - Course(s) In Progress,0.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,True,
Computer Science - Core and Elective Requirements▸ Summary of Major Coursework▸ MAS3114 or MAS4105 - Linear Algebra,83,503571,MAS3114 or MAS4105 - Linear Algebra,COMP,True,Satisfied,4.0,0.0,4.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Summary of Major Coursework▸ STA3032 - Engineering Statistics,84,503571,STA3032 - Engineering Statistics,COMP,True,Satisfied,4.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Summary of Major Coursework▸ EGS4034 or CGS3065 - Professional Ethics,85,503571,EGS4034 or CGS3065 - Professional Ethics,FAIL,False,Not Satisfied,0.0,0.0,0.0,1.0,1.0,0,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Communications (3 Credits)▸ Approved Writing or Public Speaking Courses.  – (3 Credits),88,503571,Approved Writing or Public Speaking Courses.  – (3 Credits),COMP,True,Satisfied,0.0,0.0,3.0,3.0,0.0,1,0,0,UGENG,CPS_BSCS,,False,
Computer Science - Core and Elective Requirements▸ Computer Science - Technical Electives (18 Credits),89,503571,Computer Science - Technical Electives (18 Credits),FAIL,False,Overall Requirement Not Satisfied,4.0,0.0,17.0,0.0,0.0,6,0,0,UGENG,CPS_BSCS,,False,0.0
